"University","CostIState","CostOState"
"Appalachian State University",7303,22110
"Arkansas State University",8478,14778
"Arkansas Tech University",8880,15660
"University of Arkansas",9062,24308
"University of Arkansas at Little Rock",8936,21191
"University of Arkansas at Monticello",7462,13312
"University of Arkansas at Pine Bluff",7212,13464
"Armstrong State University",6430,19506
"Asbury University",29500,29500
"Barton College",29998,29998
"Baptist College of Florida",11100,11100
"Auburn University",10968,29640
"Auburn University at Montgomery",9910,21310
"Austin Peay State University",8225,24221
"Averett University",33350,33350
"University of Baltimore",8824,20704
"Charleston Southern University",24800,24800
"Barry University",29700,29700
"Belhaven University",24250,24250
"Bellarmine University",40350,40350
"Belmont Abbey College",18500,18500
"Belmont University",32820,32820
"Benedict College",19958,19958
"Bennett College",18513,18513
"Berea College",25760,25760
"Berry College",35176,35176
"Bethany College",28454,28454
"Bethel University",16552,16552
"Bethune-Cookman University",14410,14410
"Birmingham-Southern College",35791,35791
"Blue Mountain College",11760,11760
"Bluefield College",24800,24800
"Bluefield State College",6728,13032
"Lynn University",37510,37510
"Bowie State University",8064,18653
"Brenau University",28510,28510
"Brescia University",21850,21850
"Bryan College",25600,25600
"New York School of Interior Design",29250,29250
"University of New Hampshire at Manchester",14850,29420
"Southeastern Baptist Theological Seminary",10500,10500
"Mt. Sierra College",15688,15688
"Culinary Institute of America",31616,31616
"Paier College of Art",17070,17070
"Schiller International University",NA,NA
"Brevard College",28850,28850
"Florida College",17142,17142
"South University - Savannah",NA,NA
"Charles R. Drew University of Medicine and Science",17440,17440
"Florida Gulf Coast University",6171,25214
"Fairleigh Dickinson University - College at Florham",41780,41780
"Coleman University",20725,20725
"University of Advancing Technology",23150,23150
"University of the Potomac",NA,NA
"Platt College",NA,NA
"Art Institute of California - San Diego",NA,NA
"Laguna College of Art + Design",29800,29800
"Columbia College Hollywood",21789,21789
"Art Institute of California - San Francisco",NA,NA
"NewSchool of Architecture & Design",26463,26463
"Pacific States University",16005,16005
"Rocky Mountain College of Art & Design",15870,15870
"Hodges University",17300,17300
"Trinity College of Florida",16640,16640
"Illinois Institute of Art - Chicago",NA,NA
"St. John's College",22005,22005
"Waldorf College",21674,21674
"Cambridge College",14940,14940
"Newbury College",34470,34470
"Finlandia University",22758,22758
"Thomas More College of Liberal Arts",21000,21000
"St. Gregory's University",22050,22050
"Utah Valley University",5652,16066
"Vermont Technical College",14690,27002
"Northwest College of Art and Design",19075,19075
"Northwestern Polytechnic University",10700,10700
"DeVry University - New York",17512,17512
"Sterling College",38038,38038
"Penn State Abington",14516,22558
"International Fine Arts College",22105,22105
"Illinois Institute of Art - Schaumburg",NA,NA
"Shasta Bible College",13040,13040
"Beulah Heights University",9830,9830
"Everest University - Tampa",NA,NA
"DeVry University - North Brunswick",17512,17512
"Art Institute of Pittsburgh",23376,23376
"Dixie State College",5080,14548
"Johnson & Wales University",31508,31508
"Penn State Schuylkill",14398,22316
"Penn State Lehigh Valley",14460,22378
"Penn State Berks",15190,23692
"DeVry University - Orlando",17512,17512
"Penn State Altoona",15190,23692
"Peirce College",18660,18660
"Art Institute of California - Orange County",NA,NA
"Art Institute of Washington",23328,23328
"Mitchell College",32442,32442
"Stevens-Henager College, Ogden",NA,NA
"Bethany Lutheran College",26830,26830
"Paul Smith's College",27621,27621
"University of Arkansas at Fort Smith",6935,15776
"DeVry University - Crystal City",17512,17512
"Cabarrus College of Health Sciences",13416,13416
"Muhlenberg College",50830,50830
"California State University Sacramento",7204,19084
"Nazareth College",34724,34724
"Neumann University",30050,30050
"Bellevue University",9340,9340
"Misericordia University",31660,31660
"New England College",36954,36954
"Art Center College of Design",42008,42008
"Augustana University",31960,31960
"Colorado School of Mines",18386,37436
"University of California, Santa Barbara",14409,42423
"Chaminade University of Honolulu",24114,24114
"University of Alaska Anchorage",7374,22764
"Concordia University Nebraska",31000,31000
"East Central University",6719,15839
"Alaska Pacific University",20830,20830
"Montana State University - Billings",5833,18598
"Eastern New Mexico University",5918,11693
"University of Great Falls",25050,25050
"Eastern Oregon University",8362,19682
"Fort Lewis College",8609,18761
"Jamestown College",21158,21158
"University of Colorado Colorado Springs",10201,24181
"Embry-Riddle Aeronautical University - Prescott",35916,35916
"University of California, Davis",14382,42396
"Montana State University",7223,23927
"Hawaii Pacific University",24500,24500
"Midland University",31630,31630
"California State University East Bay",6834,18714
"University of Mary Hardin-Baylor",27700,27700
"California Maritime Academy",7060,18940
"Grand Canyon University",17170,17170
"Caldwell University",33900,33900
"Abilene Christian University",33330,33330
"Creighton University",38750,38750
"Chapman University",50594,50594
"Azusa Pacific University",37506,37506
"Humboldt State University",7494,19374
"Bethany College",27472,27472
"Texas A&M International University",8320,20704
"California Polytechnic State University, San Luis Obispo",9432,21312
"Newman University",29360,29360
"College of Idaho",28755,28755
"Colorado College",52818,52818
"Colorado Technical University",NA,NA
"Dakota Wesleyan University",27000,27000
"Marylhurst University",20835,20835
"University of Nevada, Reno",7538,21726
"Mount Marty College",26310,26310
"McMurry University",26712,26712
"Willamette University",48158,48158
"Austin College",38825,38825
"University of Texas of the Permian Basin",7124,19574
"Biola University",38448,38448
"Texas A&M University - Corpus Christi",9269,21567
"Chadron State College",7031,7061
"Western Oregon University",9855,25638
"Montana Tech of the University of Montana",7139,21969
"Union College",23070,23070
"University of Idaho",7488,23812
"Menlo College",41350,41350
"Texas Christian University",44760,44760
"Northwest Christian University",28680,28680
"Concordia University Portland",30020,30020
"Whitworth University",42186,42186
"Evergreen State College",7591,25051
"University of Denver",48669,48669
"Regis University",34450,34450
"Rocky Mountain College",27566,27566
"Southeastern Oklahoma State University",6750,15390
"DeVry University - Phoenix",17512,17512
"DeVry University - Pomona",17512,17512
"Westmont College",44044,44044
"United States Air Force Academy",NA,NA
"DeVry University - Irving",17512,17512
"Oklahoma Christian University",21670,21670
"Houston Baptist University",31730,31730
"Texas A&M University - Kingsville",8462,20912
"University of Alaska Fairbanks",7518,22908
"California Institute of Technology",49908,49908
"University of Utah",8824,28067
"University of North Texas",10905,23355
"San Francisco Conservatory of Music",44810,44810
"University of Hawaii - West Oahu",7440,20400
"Valley City State University",7406,16579
"Academy of Art University",26490,26490
"Holy Names University",38188,38188
"University of Wyoming",5217,16827
"Washington State University",10078,24504
"Claremont McKenna College",52825,52825
"Oregon Institute of Technology",9541,26831
"Prescott College",30501,30501
"Weber State University",5712,15260
"Alliant International University",17640,17640
"University of Sioux Falls",27980,27980
"Fort Hays State University",5008,14831
"Bethel College",27920,27920
"St. Edward's University",43300,43300
"Simpson University",27700,27700
"Linfield College",41612,41612
"Otis College of Art and Design",43270,43270
"National American University - Rapid City",17175,17175
"Western State Colorado University",9802,21274
"University of California, Irvine",15516,43530
"Rice University",45608,45608
"Gonzaga University",41330,41330
"University of Nevada, Las Vegas",7430,21618
"Cogswell Polytechnical College",19648,19648
"University of North Dakota",8447,20324
"Thomas Aquinas College",24500,24500
"American Jewish University",30938,30938
"University of Science and Arts of Oklahoma",7200,17550
"University of Texas at Arlington",9952,25152
"Texas Lutheran University",29960,29960
"Whitman College",49780,49780
"University of Arizona",11877,35307
"Southern California Institute of Architecture",43800,43800
"Kansas State University",10135,25492
"University of St. Mary",27720,27720
"University of La Verne",41450,41450
"Colorado State University",11519,29027
"University of Oklahoma",11538,26919
"University of Tulsa",41459,41459
"North Dakota State University",8546,20572
"Oklahoma City University",30726,30726
"Point Loma Nazarene University",34600,34600
"Loyola Marymount University",46386,46386
"Trinity University",41344,41344
"University of Oregon",11571,34611
"Pacific University",42594,42594
"Walla Walla University",27495,27495
"University of Houston",11104,26554
"Texas A&M University",10403,37154
"Patten University",3432,3432
"New Mexico Highlands University",5954,9288
"University of Portland",44026,44026
"Pittsburg State University",7100,18152
"University of Washington",10974,35538
"Reed College",54200,54200
"Southwestern Adventist University",20732,20732
"St. Mary's University",29300,29300
"San Jose State University",7721,18881
"Sierra Nevada College",32639,32639
"Scripps College",52966,52966
"University of Montana",7063,24871
"Seattle University",42885,42885
"Southwestern Oklahoma State University",6705,13605
"South Dakota State University",8441,11689
"San Francisco State University",7254,19134
"Santa Clara University",49858,49858
"Wayland Baptist University",19430,19430
"Southern Nazarene University",25188,25188
"Sul Ross State University",8071,20521
"Southern Oregon University",9286,24630
"Stanford University",49617,49617
"Stephen F. Austin State University",9537,21987
"University of the Southwest",16000,16000
"Texas State University",10621,23071
"Southwestern University",40560,40560
"Fashion Institute of Technology",5483,14863
"Cornell University",52853,52853
"University of Texas at Austin",10136,35766
"Brooklyn College (City University of New York)",7040,17910
"College of Saint Mary",19950,19950
"York College",6957,17827
"East Stroudsburg University of Pennsylvania",10288,21526
"Gettysburg College",52640,52640
