"University","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"williams baptist college","private",469,"minimally difficult",0.6,665,"walnut ridge","AR"
"american university of puerto rico","private",2324,"noncompetitive",0.83,325,"bayamon","PR"
"inter american university of puerto rico san german campus","private",4031,"moderately difficult",0.69,1453,"san germán","PR"
"university of puerto rico humacao","public",3774,"moderately difficult",0.4,1913,"humacao","PR"
"polytechnic university of puerto rico","private",3493,"minimally difficult",0.85,611,"hato rey","PR"
"lindsey wilson college","private",2143,"minimally difficult",0.72,2887,"columbia","KY"
"mount olive college","private",3855,"minimally difficult",0.5,1838,"mount olive","NC"
"schreiner university","private",1237,"moderately difficult",0.91,998,"kerrville","TX"
"heritage university","private",861,"",NA,NA,"toppenish","WA"
"bayamon central university","private",1722,"",0.45,517,"bayamón","PR"
"college of st. joseph","private",237,"minimally difficult",0.69,146,"rutland","VT"
"christendom college","private",477,"moderately difficult",0.87,323,"front royal","VA"
"university of phoenix","private for profit",3718,"noncompetitive",NA,NA,"tempe","AZ"
"pacific oaks college","private",257,"",0.77,339,"pasadena","CA"
"east-west university","private",755,"minimally difficult",0.89,1008,"chicago","IL"
"farmingdale state college","public",9235,"moderately difficult",0.58,6169,"farmingdale","NY"
"mount ida college","private",1320,"moderately difficult",0.63,2319,"newton","MA"
"warner pacific college","private",552,"moderately difficult",0.63,476,"portland","OR"
"cazenovia college","private",1042,"minimally difficult",0.9,1730,"cazenovia","NY"
"university of akron","public",17416,"moderately difficult",0.96,13911,"akron","OH"
"albion college","private",1418,"moderately difficult",0.72,3338,"albion","MI"
"baptist bible college","private",544,"noncompetitive",0.76,264,"springfield","MO"
"beloit college","private",1394,"",NA,NA,"beloit","WI"
"bemidji state university","public",4795,"moderately difficult",0.64,4137,"bemidji","MN"
"bethel college","private",1388,"minimally difficult",0.98,1168,"mishawaka","IN"
"bethel university","private",2965,"moderately difficult",0.82,1798,"st paul","MN"
"blackburn college","private",596,"moderately difficult",0.52,1001,"carlinville","IL"
"bluffton university","private",865,"moderately difficult",0.5,1480,"bluffton","OH"
"bowling green state university","public",14852,"moderately difficult",0.74,14891,"bowling green","OH"
"bradley university","private",4473,"moderately difficult",0.7,9786,"peoria","IL"
"briar cliff university","private",1117,"moderately difficult",0.51,1741,"sioux city","IA"
"buena vista university","private",795,"moderately difficult",0.64,1256,"storm lake","IA"
"butler university","private",4290,"moderately difficult",0.73,12937,"indianapolis","IN"
"calumet college of st. joseph","private",784,"noncompetitive",0.3,628,"whiting","IN"
"calvin college","private",3807,"moderately difficult",0.75,3981,"grand rapids","MI"
"capital university","private",2718,"moderately difficult",0.69,4287,"columbus","OH"
"cardinal stritch university","private",1534,"moderately difficult",0.82,774,"milwaukee","WI"
"carleton college","private",2105,"very difficult",0.23,6485,"northfield","MN"
"carroll university","private",3139,"moderately difficult",0.79,2512,"waukesha","WI"
"carthage college","private",2828,"moderately difficult",0.7,6640,"kenosha","WI"
"cedarville university","private",3380,"moderately difficult",0.69,4092,"cedarville","OH"
"central college","private",1274,"moderately difficult",0.64,3071,"pella","IA"
"central methodist university","private",1094,"moderately difficult",0.61,1365,"fayette","MO"
"central michigan university","public",19923,"moderately difficult",0.72,18875,"mount pleasant","MI"
"university of central missouri","public",9786,"moderately difficult",0.98,3941,"warrensburg","MO"
"central state university","public",1729,"minimally difficult",0.42,7669,"wilberforce","OH"
"chicago state university","public",3912,"minimally difficult",0.3,5517,"chicago","IL"
"university of chicago","private",5941,"most difficult",0.08,31484,"chicago","IL"
"cincinnati christian university","private",620,"minimally difficult",0.59,241,"cincinnati","OH"
"university of cincinnati","public",25860,"moderately difficult",0.76,19370,"cincinnati","OH"
"clarke university","private",801,"moderately difficult",0.65,1172,"dubuque","IA"
"cleary university","private",618,"moderately difficult",0.48,81,"howell","MI"
"cleveland institute of art","private",625,"moderately difficult",0.61,864,"cleveland","OH"
"cleveland institute of music","private",230,"very difficult",0.44,437,"cleveland","OH"
"cleveland state university","public",12433,"moderately difficult",0.88,8351,"cleveland","OH"
"coe college","private",1409,"moderately difficult",0.5,6725,"cedar rapids","IA"
"columbia college chicago","private",7809,"moderately difficult",0.88,8325,"chicago","IL"
"columbia college","private",936,"minimally difficult",0.51,1580,"columbia","MO"
"columbus college of art & design","private",1060,"moderately difficult",0.79,612,"columbus","OH"
"conception seminary college","private",NA,"noncompetitive",NA,NA,"conception","MO"
"concordia university chicago","private",1530,"moderately difficult",0.5,4802,"river forest","IL"
"concordia university ann arbor","private",509,"moderately difficult",0.56,837,"ann arbor","MI"
"concordia college","private",2114,"moderately difficult",0.65,3741,"moorhead","MN"
"concordia university st. paul","private",2659,"minimally difficult",0.56,1704,"st paul","MN"
"concordia university wisconsin","private",3830,"moderately difficult",0.74,2632,"mequon","WI"
"cornell college","private",976,"moderately difficult",0.71,1965,"mount vernon","IA"
"culver-stockton college","private",1058,"moderately difficult",0.58,3305,"canton","MO"
"university of dayton","private",8330,"moderately difficult",0.58,16968,"dayton","OH"
"defiance college","private",582,"moderately difficult",0.58,1100,"defiance","OH"
"denison university","private",2277,"very difficult",0.44,6881,"granville","OH"
"depaul university","private",15961,"moderately difficult",0.72,19628,"chicago","IL"
"depauw university","private",2225,"moderately difficult",0.65,4845,"greencastle","IN"
"university of detroit mercy","private",2646,"moderately difficult",0.78,4542,"detroit","MI"
"devry university chicago","private for profit",784,"minimally difficult",NA,NA,"chicago","IL"
"devry university columbus","private for profit",961,"minimally difficult",NA,NA,"columbus","OH"
"martin luther college","private",859,"moderately difficult",0.83,293,"new ulm","MN"
"drake university","private",3267,"moderately difficult",0.69,4959,"des moines","IA"
"drury university","private",1370,"moderately difficult",0.7,1563,"springfield","MO"
"university of dubuque","private",1924,"moderately difficult",0.76,1662,"dubuque","IA"
"kettering university","private",1905,"very difficult",0.72,2251,"flint","MI"
"grace college","private",1934,"moderately difficult",0.78,4204,"winona lake","IN"
"hanover college","private",1090,"moderately difficult",0.57,3696,"hanover","IN"
"benedictine university","private",3347,"moderately difficult",0.79,1980,"lisle","IL"
"indiana institute of technology","private",5738,"moderately difficult",0.72,2324,"fort wayne","IN"
"indiana university kokomo","public",3977,"minimally difficult",0.69,1513,"kokomo","IN"
"kendall college","private for profit",1200,"minimally difficult",0.84,154,"chicago","IL"
"lake erie college","private",955,"moderately difficult",0.63,1485,"painesville","OH"
"lakeland university","private",2964,"minimally difficult",0.77,687,"plymouth","WI"
"lindenwood university","private",7549,"moderately difficult",0.55,4039,"st charles","MO"
"manchester university","private",1272,"moderately difficult",0.71,2431,"north manchester","IN"
"marietta college","private",1144,"moderately difficult",0.61,2700,"marietta","OH"
"mckendree university","private",2290,"moderately difficult",0.68,2283,"lebanon","IL"
"metropolitan state university","public",7593,"minimally difficult",1,376,"st paul","MN"
"rochester college","private",970,"minimally difficult",0.8,210,"rochester hills","MI"
"university of michigan","public",28983,"very difficult",0.29,55504,"ann arbor","MI"
"millikin university","private",1971,"moderately difficult",0.64,3608,"decatur","IL"
"milwaukee institute of art & design","private",630,"moderately difficult",0.53,921,"milwaukee","WI"
"missouri southern state university","public",5732,"moderately difficult",0.94,2333,"joplin","MO"
"mount mercy university","private",1580,"moderately difficult",0.62,1288,"cedar rapids","IA"
"north central college","private",2716,"moderately difficult",0.59,6860,"naperville","IL"
"university of northern iowa","public",10104,"moderately difficult",0.82,5287,"cedar falls","IA"
"northwestern college","private",1099,"moderately difficult",0.66,2199,"orange city","IA"
"university of northwestern st. paul","private",3222,"moderately difficult",0.7,1356,"st paul","MN"
"northwood university","private",1442,"moderately difficult",0.72,2265,"midland","MI"
"notre dame college","private",1240,"moderately difficult",0.52,1255,"south euclid","OH"
"oakland city university","private",1270,"minimally difficult",0.33,628,"oakland city","IN"
"ohio university","public",23788,"moderately difficult",0.75,20623,"athens","OH"
"ohio wesleyan university","private",1639,"very difficult",0.72,4123,"delaware","OH"
"rockford university","private",1086,"",NA,NA,"rockford","IL"
"university of st. francis","private",1362,"moderately difficult",0.49,1560,"joliet","IL"
"saint mary's college","private",1625,"moderately difficult",0.82,1771,"notre dame","IN"
"college of st. scholastica","private",2841,"moderately difficult",0.64,3232,"duluth","MN"
"saint xavier university","private",2993,"moderately difficult",0.83,5520,"chicago","IL"
"columbia university","private",6158,"most difficult",0.06,36292,"new york","NY"
"connecticut college","private",1865,"very difficult",0.35,5879,"new london","CT"
"university of connecticut","public",18395,"moderately difficult",0.5,31280,"storrs","CT"
"john jay college of criminal justice","public",12674,"moderately difficult",0.34,13899,"new york","NY"
"dartmouth college","private",4310,"most difficult",0.11,20675,"hanover","NH"
"college of staten island","public",12806,"",NA,NA,"staten island","NY"
"city college of new york","public",13508,"moderately difficult",0.4,24735,"new york","NY"
"daemen college","private",1993,"moderately difficult",0.52,3219,"amherst","NY"
"drexel university","private",15499,"moderately difficult",0.75,28535,"philadelphia","PA"
"duquesne university","private",6039,"moderately difficult",0.73,7655,"pittsburgh","PA"
"edinboro university","public",5585,"moderately difficult",0.99,3143,"edinboro","PA"
"elmira college","private",1101,"moderately difficult",0.82,2096,"elmira","NY"
"elms college","private",1188,"moderately difficult",0.76,684,"chicopee","MA"
"framingham state university","public",4337,"moderately difficult",0.65,6204,"framingham","MA"
