"University","CostIState","CostOState"
"Saint Mary-of-the-Woods College",45064,45064
"Cornerstone University",40542,40542
"Eastern University",48420,48420
"Georgian Court University",51018,51018
"New York City College of Technology",NA,NA
"Hunter College",NA,NA
"Monmouth College",47970,47970
"Northern Michigan University",23358,28854
"Greensboro College",43620,43620
"Manhattan Christian College",31178,31178
"Loyola University Maryland",64685,64685
"California State University Fresno",20361,32241
"Oklahoma Baptist University",39720,39720
"Metropolitan State University of Denver",NA,NA
"Marian University",47907,47907
"Mount Mary University",45542,45542
"Davis and Elkins College",40942,40942
"Kent State University",20928,29460
"Lawrence Technological University",47422,47422
"Harvey Mudd College",74678,74678
"Dordt College",44310,44310
"Texas Tech University",25775,38015
"University of Nebraska - Omaha",22667,36497
"Oklahoma Panhandle State University",16992,22551
"Mount Vernon Nazarene University",40610,40610
"Southern Arkansas University",21531,25341
"Southwestern Assemblies of God University",31798,31798
"Memphis College of Art",46640,46640
"University of Puget Sound",63510,63510
"Xavier University of Louisiana",37609,37609
"Master's College",48964,48964
"Washburn University",21030,31680
"New Jersey City University",29908,39198
"University of San Diego",65426,65426
"Black Hills State University",20922,23922
"California State University Bakersfield",25691,37571
"University of Texas at Tyler",20902,33952
"Pacific Northwest College of Art",NA,NA
"University of Houston - Downtown",NA,NA
"University of Minnesota, Morris",24222,26242
"Dickinson State University",17978,20650
"University of Texas at San Antonio",24626,38625
"Dominican University of California",64436,64436
"Indiana University South Bend",NA,NA
"Adams State University",21861,32877
"Georgetown College",50086,50086
"University of Texas Health Science Center at Houston",NA,NA
"University of Louisville",26636,41658
"University of the Incarnate Word",46766,46766
"Florida Institute of Technology",58920,58920
"Rose-Hulman Institute of Technology",65058,65058
"Minneapolis College of Art and Design",49688,49688
"Marshall University",21390,31448
"Dominican College",45568,45568
"College for Creative Studies",57810,57810
"University of Central Oklahoma",23696,34043
"La Sierra University",45474,45474
"Fairmont State University",19980,28082
"Franklin University",NA,NA
"Wofford College",57788,57788
"Newberry College",39642,39642
"Davidson College",66678,66678
"Shepherd University",21132,31677
"Lewis-Clark State College",19806,31882
"Mary Baldwin University",43750,43750
"Marian University",38842,38842
"Northwest University",41770,41770
"Gardner-Webb University",42744,42744
"University of Maryland Eastern Shore",22815,32821
"California State University Northridge",22122,34002
"Western Washington University",23733,38245
"St. Cloud State University",20571,28804
"Oklahoma Wesleyan University",39108,39108
"Luther College",54045,54045
"Cornish College of the Arts",55794,55794
"Angelo State University",20562,33012
"University of California, Riverside",34367,62381
"University of Montana Western",16808,27950
"Texas Wesleyan University",42930,42930
"University of Mobile",36554,36554
"East Tennessee State University",21726,40404
"University of California, Santa Cruz",31484,59498
"Notre Dame de Namur University",54168,54168
"Sterling College",37247,37247
"Our Lady of the Lake University",42280,42280
"Flagler College",33580,33580
"New Mexico Institute of Mining and Technology",20685,34493
"Southern Utah University",20143,33755
"San Diego Christian College",46832,46832
"Mayville State University",17208,19836
"Ottawa University",43270,43270
"Oregon State University",26343,45003
"South Dakota School of Mines and Technology",22639,26818
"University of Alaska Southeast",19983,35373
"Central Washington University",22547,36654
"Wayne State College",18398,23558
"George Fox University",48902,48902
"California Lutheran University",59877,59877
"Portland State University",25311,42411
"Dakota State University",21298,24228
"Earlham College",58700,58700
"Kansas Wesleyan University",41130,41130
"Prairie View A&M University",23842,37371
"LeTourneau University",43388,43388
"Corban University",44500,44500
"University of Kansas",26838,42606
"Illinois Wesleyan University",58830,58830
"Grand View University",38936,38936
"University of Florida",21131,43408
"Eastern Kentucky University",22014,31792
"Muskingum University",41602,41602
"Stillman College",22052,22052
"D'Youville College",41478,41478
