University,CostIState,CostOState,CollegeType,Undergraduates,EntranceDifficulty,AdmitRate,Applicants,City,State,Region,Starting Median Salary
texas a&m university,10403,37154,public,50735,moderately difficult,0.66,35494,college station,TX,Southern,49700
university of illinois urbana-champaign,15868,31988,public,32695,very difficult,0.62,33203,champaign,IL,Midwestern,52900
bates college,52042,52042,private,1780,very difficult,0.23,5356,lewiston,ME,Northeastern,47300
case western reserve university,47500,47500,private,5152,very difficult,0.35,23115,cleveland,OH,Midwestern,56200
wentworth institute of technology,32954,32954,private,3974,moderately difficult,0.71,7556,boston,MA,Northeastern,53000
university of california irvine,15516,43530,public,27331,very difficult,0.41,77810,irvine,CA,California,48300
university of colorado boulder,12086,36220,public,27846,moderately difficult,0.77,34047,boulder,CO,Western,47100
illinois institute of technology,45534,45534,private,2991,moderately difficult,0.53,4403,chicago,IL,Midwestern,56000
wesleyan university,52774,52774,private,2971,most difficult,0.18,11928,middletown,CT,Northeastern,46500
george washington university,53518,53518,private,11504,most difficult,0.4,25488,washington,DC,Southern,47000
university of california davis,14382,42396,public,29546,very difficult,0.42,67472,davis,CA,California,52300
university of southern california,54323,54323,private,18794,most difficult,0.17,54280,los angeles,CA,California,54800
fordham university,50986,50986,private,9258,very difficult,0.48,42811,new york,NY,Northeastern,47800
villanova university,51284,51284,private,6999,very difficult,0.44,17272,villanova,PA,Northeastern,55800
cal poly san luis obispo,9432,21312,public,20426,moderately difficult,0.29,48162,san luis obispo,CA,California,57200
university of california san diego,14028,42042,public,28127,very difficult,0.36,84209,la jolla,CA,California,51100
university of california los angeles,13749,41763,public,30873,very difficult,0.18,97121,los angeles,CA,California,52600
pomona college,51075,51075,private,1660,most difficult,0.09,8102,claremont,CA,California,48600
williams college,53550,53550,private,2076,most difficult,0.18,6985,williamstown,MA,Northeastern,51700
boston college,53346,53346,private,9309,very difficult,0.31,28956,chestnut hill,MA,Northeastern,52700
carleton college,52782,52782,private,2105,very difficult,0.23,6485,northfield,MN,Midwestern,47500
university of virginia,16781,46634,public,16736,very difficult,0.3,30840,charlottesville,VA,Southern,52700
davidson college,49949,49949,private,1796,very difficult,0.2,5618,davidson,NC,Southern,46100
vanderbilt university,47664,47664,private,6871,most difficult,0.11,32442,nashville,TN,Southern,51200
washington & lee university,50170,50170,private,1830,most difficult,0.24,5101,lexington,VA,Southern,53600
stevens institute of technology,50554,50554,private,3115,very difficult,0.39,7409,hoboken,NJ,Northeastern,60600
lehigh university,50740,50740,private,5080,most difficult,0.26,13403,bethlehem,PA,Northeastern,59200
occidental college,52838,52838,private,2062,very difficult,0.46,6409,los angeles,CA,California,51900
colorado school of mines,18386,37436,public,4612,very difficult,0.4,12284,golden,CO,Western,58100
college of the holy cross,50630,50630,private,2941,very difficult,0.38,6693,worcester,MA,Northeastern,50200
