University,CostIState,CostOState,CollegeType,Undergraduates,EntranceDifficulty,AdmitRate,Applicants,City,State,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
colorado technical university,NA,NA,private for profit,1896,minimally difficult,NA,NA,colorado springs,CO,Western,NA,NA,NA,NA,NA,NA
devry university phoenix,17512,17512,private for profit,515,minimally difficult,NA,NA,phoenix,AZ,Western,NA,NA,NA,NA,NA,NA
devry university pomona,17512,17512,private for profit,784,minimally difficult,NA,NA,pomona,CA,California,NA,NA,NA,NA,NA,NA
devry university irving,17512,17512,private for profit,403,minimally difficult,NA,NA,irving,TX,Southern,NA,NA,NA,NA,NA,NA
alliant international university,17640,17640,private,163,minimally difficult,NA,NA,san diego,CA,California,NA,NA,NA,NA,NA,NA
hannibal-lagrange university,21710,21710,private,1303,minimally difficult,NA,NA,hannibal,MO,Midwestern,NA,NA,NA,NA,NA,NA
ashford university,11248,11248,private for profit,9866,minimally difficult,NA,NA,san diego,CA,California,NA,NA,NA,NA,NA,NA
brewton-parker college,18190,18190,private,666,minimally difficult,NA,NA,mt vernon,GA,Southern,NA,NA,NA,NA,NA,NA
midway college,23850,23850,private,1513,minimally difficult,NA,NA,midway,KY,Southern,NA,NA,NA,NA,NA,NA
mount aloysius college,22430,22430,private,1720,minimally difficult,NA,NA,cresson,PA,Northeastern,NA,NA,NA,NA,NA,NA
arkansas baptist college,8760,8760,private,626,minimally difficult,NA,NA,little rock,AR,Southern,NA,NA,NA,NA,NA,NA
great lakes christian college,15550,15550,private,225,minimally difficult,NA,NA,lansing,MI,Midwestern,NA,NA,NA,NA,NA,NA
amridge university,7180,7180,private,315,minimally difficult,NA,NA,montgomery,AL,Southern,NA,NA,NA,NA,NA,NA
martin methodist college,23800,23800,private,924,minimally difficult,NA,NA,pulaski,TN,Southern,NA,NA,NA,NA,NA,NA
ohio christian university,20240,20240,private,4213,minimally difficult,NA,NA,circleville,OH,Midwestern,NA,NA,NA,NA,NA,NA
alaska bible college,9300,9300,private,50,minimally difficult,NA,NA,palmer,AK,Western,NA,NA,NA,NA,NA,NA
southwestern christian university,16950,16950,private,325,minimally difficult,NA,NA,bethany,OK,Southern,NA,NA,NA,NA,NA,NA
capitol college,24788,24788,private,309,minimally difficult,NA,NA,laurel,MD,Southern,NA,NA,NA,NA,NA,NA
devry university atlanta,17512,17512,private for profit,903,minimally difficult,NA,NA,decatur,GA,Southern,NA,NA,NA,NA,NA,NA
our lady of holy cross college,16100,16100,private,1128,minimally difficult,NA,NA,new orleans,LA,Southern,NA,NA,NA,NA,NA,NA
saint joseph seminary college,17490,17490,private,107,minimally difficult,NA,NA,saint benedict,LA,Southern,NA,NA,NA,NA,NA,NA
university of the district of columbia,8060,15956,public,4491,minimally difficult,NA,NA,washington,DC,Southern,NA,NA,NA,NA,NA,NA
southwest minnesota state university,8619,8619,public,6451,minimally difficult,NA,NA,marshall,MN,Midwestern,NA,NA,NA,NA,NA,NA
faith baptist bible college & theological seminary,16766,16766,private,226,minimally difficult,NA,NA,ankeny,IA,Midwestern,NA,NA,NA,NA,NA,NA
bacone college,14850,14850,private,884,minimally difficult,NA,NA,muskogee,OK,Southern,NA,NA,NA,NA,NA,NA
haskell indian nations university,NA,NA,public,894,minimally difficult,NA,NA,lawrence,KS,Midwestern,NA,NA,NA,NA,NA,NA
new orleans baptist theological seminary leavell college,8175,8175,private,974,minimally difficult,NA,NA,new orleans,LA,Southern,NA,NA,NA,NA,NA,NA
western governors university,6070,6070,private,44499,minimally difficult,NA,NA,salt lake city,UT,Western,NA,NA,NA,NA,NA,NA
northcentral university,10680,10680,private for profit,133,minimally difficult,NA,NA,san diego,CA,California,NA,NA,NA,NA,NA,NA
devry university miramar,17512,17512,private for profit,246,minimally difficult,NA,NA,miramar,FL,Southern,NA,NA,NA,NA,NA,NA
devry university ft. washington,NA,NA,private for profit,436,minimally difficult,NA,NA,fort washington,PA,Northeastern,NA,NA,NA,NA,NA,NA
capella university,12060,12060,private for profit,7487,minimally difficult,NA,NA,minneapolis,MN,Midwestern,NA,NA,NA,NA,NA,NA
harrisburg university of science & technology,23900,23900,private,387,minimally difficult,NA,NA,harrisburg,PA,Northeastern,NA,NA,NA,NA,NA,NA
rasmussen college lake elmo/woodbury,13455,13455,private for profit,2169,minimally difficult,NA,NA,lake elmo,MN,Midwestern,NA,NA,NA,NA,NA,NA
trident university international,NA,NA,private for profit,NA,minimally difficult,NA,NA,cypress,CA,California,NA,NA,NA,NA,NA,NA
thomas jefferson university,NA,NA,private,1131,moderately difficult,NA,NA,philadelphia,PA,Northeastern,NA,NA,NA,NA,NA,NA
belmont abbey college,18500,18500,private,1524,moderately difficult,NA,NA,belmont,NC,Southern,NA,NA,NA,NA,NA,NA
mt. sierra college,15688,15688,private for profit,511,moderately difficult,NA,NA,monrovia,CA,California,NA,NA,NA,NA,NA,NA
rocky mountain college of art & design,15870,15870,private for profit,1079,moderately difficult,NA,NA,lakewood,CO,Western,NA,NA,NA,NA,NA,NA
grand canyon university,17170,17170,private for profit,NA,moderately difficult,NA,NA,phoenix,AZ,Western,NA,NA,NA,NA,NA,NA
walla walla university,27495,27495,private,1700,moderately difficult,NA,NA,college place,WA,Western,NA,NA,NA,NA,NA,NA
university of texas health science center houston,5976,25986,public,677,moderately difficult,NA,NA,houston,TX,Southern,NA,NA,NA,NA,NA,NA
golden gate university,15584,15584,private,458,moderately difficult,NA,NA,san francisco,CA,California,NA,NA,NA,NA,NA,NA
beth medrash govoha,20788,20788,private,2747,moderately difficult,NA,NA,lakewood,NJ,Northeastern,NA,NA,NA,NA,NA,NA
chamberlain college of nursing,19500,19500,private for profit,543,moderately difficult,NA,NA,st louis,MO,Midwestern,NA,NA,NA,NA,NA,NA
concordia college alabama,10120,10120,private,611,moderately difficult,NA,NA,selma,AL,Southern,NA,NA,NA,NA,NA,NA
ner israel rabbinical college,11900,11900,private,369,moderately difficult,NA,NA,baltimore,MD,Southern,NA,NA,NA,NA,NA,NA
saint anthony college of nursing,25342,25342,private,238,moderately difficult,NA,NA,rockford,IL,Midwestern,NA,NA,NA,NA,NA,NA
resurrection university,26134,26134,private,609,moderately difficult,NA,NA,chicago,IL,Midwestern,NA,NA,NA,NA,NA,NA
