University,CostIState,CostOState,CollegeType,Undergraduates,EntranceDifficulty,AdmitRate,Applicants,City,State,Region,Starting Median Salary
friends university,27565,27565,private,1192,moderately difficult,0.55,749,wichita,KS,Midwestern,NA
university of st. mary,27720,27720,private,837,moderately difficult,0.49,888,leavenworth,KS,Midwestern,NA
spring arbor university,27750,27750,private,2435,moderately difficult,0.69,1546,spring arbor,MI,Midwestern,NA
lakeland university,27760,27760,private,2964,minimally difficult,0.77,687,plymouth,WI,Midwestern,NA
quincy university,27770,27770,private,1140,moderately difficult,0.63,1553,quincy,IL,Midwestern,NA
bethel college,27920,27920,private,460,moderately difficult,0.56,770,north newton,KS,Midwestern,NA
bethel college,27920,27920,private,1388,minimally difficult,0.98,1168,mishawaka,IN,Midwestern,NA
bethel college,27930,27930,private,460,moderately difficult,0.56,770,north newton,KS,Midwestern,NA
bethel college,27930,27930,private,1388,minimally difficult,0.98,1168,mishawaka,IN,Midwestern,NA
university of sioux falls,27980,27980,private,1243,moderately difficult,0.97,645,sioux falls,SD,Midwestern,NA
north park university,27990,27990,private,2205,moderately difficult,0.52,3961,chicago,IL,Midwestern,NA
muskingum university,28062,28062,private,1549,moderately difficult,0.77,1819,new concord,OH,Midwestern,NA
mount vernon nazarene university,28090,28090,private,1831,moderately difficult,0.74,1276,mount vernon,OH,Midwestern,NA
graceland university,28110,28110,private,1446,moderately difficult,0.48,2440,lamoni,IA,Midwestern,NA
alverno college,28277,28277,private,1413,moderately difficult,0.74,698,milwaukee,WI,Midwestern,NA
university of indianapolis,28390,28390,private,4346,moderately difficult,0.86,7301,indianapolis,IN,Midwestern,NA
andrews university,28436,28436,private,1688,moderately difficult,0.4,2417,berrien springs,MI,Midwestern,NA
concordia university ann arbor,28436,28436,private,509,moderately difficult,0.56,837,ann arbor,MI,Midwestern,NA
bethany college,28454,28454,private,665,moderately difficult,0.59,1139,lindsborg,KS,Midwestern,NA
maryville university of saint louis,28470,28470,private,2967,moderately difficult,0.93,1846,st louis,MO,Midwestern,NA
benedictine college,28480,28480,private,2133,minimally difficult,0.98,2182,atchison,KS,Midwestern,NA
edgewood college,28500,28500,private,1661,moderately difficult,0.78,1035,madison,WI,Midwestern,NA
ottawa university,28550,28550,private,531,moderately difficult,0.7,1419,ottawa,KS,Midwestern,NA
mcpherson college,28569,28569,private,637,moderately difficult,0.63,887,mcpherson,KS,Midwestern,NA
concordia university wisconsin,28600,28600,private,3830,moderately difficult,0.74,2632,mequon,WI,Midwestern,NA
trinity christian college,28675,28675,private,1193,moderately difficult,0.7,884,palos heights,IL,Midwestern,NA
southwestern college,28750,28750,private,1226,minimally difficult,0.92,395,winfield,KS,Midwestern,NA
avila university,28820,28820,private,1320,minimally difficult,0.56,1382,kansas city,MO,Midwestern,NA
cardinal stritch university,28844,28844,private,1534,moderately difficult,0.82,774,milwaukee,WI,Midwestern,NA
principia college,28920,28920,private,479,moderately difficult,0.91,165,elsah,IL,Midwestern,NA
baker university,28960,28960,private,1144,moderately difficult,0.78,899,baldwin city,KS,Midwestern,NA
roosevelt university,28963,28963,private,3239,moderately difficult,0.72,3303,chicago,IL,Midwestern,NA
kansas wesleyan university,28980,28980,private,693,moderately difficult,0.55,805,salina,KS,Midwestern,NA
college of mount st. joseph,29100,29100,private,1336,minimally difficult,0.88,1029,cincinnati,OH,Midwestern,NA
wisconsin lutheran college,29140,29140,private,1070,moderately difficult,0.64,870,milwaukee,WI,Midwestern,NA
walsh university,29150,29150,private,2112,moderately difficult,0.78,1693,north canton,OH,Midwestern,NA
cedarville university,29156,29156,private,3380,moderately difficult,0.69,4092,cedarville,OH,Midwestern,NA
hastings college,29200,29200,private,1183,moderately difficult,0.71,1688,hastings,NE,Midwestern,NA
notre dame college,29300,29300,private,1240,moderately difficult,0.52,1255,south euclid,OH,Midwestern,NA
