"University","CostIState","CostOState","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"lenoir-rhyne university",35350,35350,"private",1710,"moderately difficult",0.7,6300,"hickory","NC"
"lander university",10700,20300,"public",2969,"moderately difficult",0.42,3342,"greenwood","SC"
"north carolina a&t state university",6419,19309,"public",9203,"moderately difficult",0.58,7491,"greensboro","NC"
"louisiana tech university",9255,30297,"public",11281,"moderately difficult",0.62,7227,"ruston","LA"
"new college of florida",6916,29944,"public",861,"very difficult",0.71,1417,"sarasota","FL"
"university of new orleans",8694,13530,"public",6442,"moderately difficult",0.6,3409,"new orleans","LA"
"morgan state university",7767,17833,"public",6114,"moderately difficult",0.43,9166,"baltimore","MD"
"marymount university",30426,30426,"private",2323,"moderately difficult",0.91,2476,"arlington","VA"
"university of maryland",10399,33606,"public",28472,"moderately difficult",0.48,30272,"college park","MD"
"loyola university new orleans",39242,39242,"private",2483,"moderately difficult",0.68,5160,"new orleans","LA"
"lincoln memorial university",21410,21410,"private",1699,"moderately difficult",0.74,2306,"harrogate","TN"
"university of memphis",9700,21413,"public",16639,"moderately difficult",0.92,7556,"memphis","TN"
"morehead state university",8956,13426,"public",14400,"minimally difficult",0.83,15996,"morehead","KY"
"liberty university",24304,24304,"private",13646,"minimally difficult",0.28,22984,"lynchburg","VA"
"university of kentucky",11772,27856,"public",22621,"moderately difficult",0.91,20480,"lexington","KY"
"middle tennessee state university",8948,27578,"public",20140,"moderately difficult",0.73,8164,"murfreesboro","TN"
"mississippi state university",8318,22358,"public",18090,"moderately difficult",0.71,13930,"mississippi state","MS"
"lynchburg college",37690,37690,"private",2079,"moderately difficult",0.64,5223,"lynchburg","VA"
"university of mississippi",8300,23564,"public",18785,"moderately difficult",0.79,18059,"university","MS"
"george washington university",53518,53518,"private",11504,"most difficult",0.4,25488,"washington","DC"
"embry-riddle aeronautical university",36536,36536,"private",5447,"moderately difficult",0.71,4901,"daytona beach","FL"
"talladega college",12510,12510,"private",989,"moderately difficult",0.15,2047,"talladega","AL"
"university of tampa",28426,28426,"private",7382,"moderately difficult",0.48,19947,"tampa","FL"
"tennessee state university",7776,21132,"public",7007,"minimally difficult",0.53,8857,"nashville","TN"
"tennessee technological university",8873,25529,"public",10052,"moderately difficult",0.93,4973,"cookeville","TN"
"university of tennessee chattanooga",8664,26558,"public",10170,"moderately difficult",0.78,7628,"chattanooga","TN"
"university of tennessee",12970,31160,"public",22139,"moderately difficult",0.77,17583,"knoxville","TN"
"university of tennessee martin",9236,14996,"public",6279,"moderately difficult",0.67,3547,"martin","TN"
"thomas more college",30270,30270,"private",1821,"moderately difficult",0.89,2401,"crestview hills","KY"
"toccoa falls college",22104,22104,"private",1254,"moderately difficult",0.54,881,"toccoa falls","GA"
"tougaloo college",10607,10607,"private",900,"minimally difficult",0.4,2551,"tougaloo","MS"
"towson university",9694,22140,"public",19198,"moderately difficult",0.74,11897,"towson","MD"
"transylvania university",37290,37290,"private",963,"very difficult",0.95,1216,"lexington","KY"
"trevecca nazarene university",25100,25100,"private",2092,"moderately difficult",0.72,1417,"nashville","TN"
"trinity washington university",23690,23690,"private",1043,"moderately difficult",NA,NA,"washington","DC"
"troy university",12155,22267,"public",14243,"moderately difficult",0.9,6565,"troy","AL"
"tulane university",52960,52960,"private",6377,"very difficult",0.26,32006,"new orleans","LA"
"tusculum college",23700,23700,"private",1585,"moderately difficult",0.74,2238,"greeneville","TN"
"tuskegee university",22170,22170,"private",2485,"moderately difficult",0.53,7529,"tuskegee","AL"
"union college",26080,26080,"private",2203,"very difficult",0.37,6648,"schenectady","NY"
"union college",26080,26080,"private",805,"moderately difficult",0.64,1811,"lincoln","NE"
"union college",26080,26080,"private",975,"moderately difficult",0.67,1344,"barbourville","KY"
"union university",31510,31510,"private",2214,"moderately difficult",0.63,2012,"jackson","TN"
"united states naval academy",NA,NA,"public",4525,"very difficult",0.09,16101,"annapolis","MD"
"valdosta state university",7476,20958,"public",8780,"moderately difficult",0.65,5108,"valdosta","GA"
"vanderbilt university",47664,47664,"private",6871,"most difficult",0.11,32442,"nashville","TN"
"stevenson university",35490,35490,"private",3621,"moderately difficult",0.61,5856,"stevenson","MD"
"university of the virgin islands",5235,14496,"public",2132,"noncompetitive",0.92,1789,"st thomas","VI"
"virginia commonwealth university",13570,32942,"public",24212,"",0.75,17176,"richmond","VA"
"virginia military institute",18214,43902,"public",1713,"moderately difficult",0.51,1843,"lexington","VA"
"virginia polytechnic institute & state university",13230,30410,"public",25791,"moderately difficult",0.71,25000,"blacksburg","VA"
"virginia state university",8726,18841,"public",4165,"minimally difficult",0.94,5722,"petersburg","VA"
"virginia union university",16772,16772,"private",1509,"moderately difficult",0.49,7337,"richmond","VA"
"university of virginia",16781,46634,"public",16736,"very difficult",0.3,30840,"charlottesville","VA"
"university of virginia's college wise",9825,26385,"public",2221,"moderately difficult",0.76,1068,"wise","VA"
"virginia wesleyan college",36660,36660,"private",1374,"moderately difficult",0.9,1654,"norfolk","VA"
"voorhees college",12630,12630,"private",468,"moderately difficult",0.5,2776,"denmark","SC"
"wake forest university",51400,51400,"private",4955,"very difficult",0.3,14006,"winston salem","NC"
"warner university",21116,21116,"private",921,"minimally difficult",0.58,391,"lake wales","FL"
"warren wilson college",35244,35244,"private",753,"moderately difficult",0.84,809,"asheville","NC"
"washington college",44700,44700,"private",1479,"moderately difficult",0.49,6720,"chestertown","MD"
"washington & lee university",50170,50170,"private",1830,"most difficult",0.24,5101,"lexington","VA"
"webber international university",25358,25358,"private",654,"moderately difficult",0.5,713,"babson park","FL"
"wesley college",26406,26406,"private",1661,"moderately difficult",0.63,2933,"dover","DE"
"wesleyan college",22370,22370,"private",635,"moderately difficult",0.38,842,"macon","GA"
"university of west florida",6569,19451,"public",10200,"moderately difficult",0.42,7104,"pensacola","FL"
"university of west georgia",7292,20774,"public",11155,"moderately difficult",0.59,8131,"carrollton","GA"
"west liberty university",7380,15020,"public",2166,"minimally difficult",0.72,1692,"west liberty","WV"
"west virginia university institute of technology",6960,17544,"public",1347,"minimally difficult",0.53,1613,"montgomery","WV"
"west virginia state university",7165,15572,"public",3391,"minimally difficult",0.96,3462,"institute","WV"
"west virginia university",8376,23616,"public",22350,"moderately difficult",0.76,21558,"morgantown","WV"
"west virginia wesleyan college",30752,30752,"private",1396,"moderately difficult",0.77,1730,"buckhannon","WV"
"western carolina university",7191,17584,"public",9171,"moderately difficult",0.41,18297,"cullowhee","NC"
"western kentucky university",10202,25512,"public",17595,"minimally difficult",0.94,9693,"bowling green","KY"
"college of william & mary",22044,43099,"public",6276,"most difficult",0.37,14382,"williamsburg","VA"
"wilmington university",10940,10940,"private",8873,"noncompetitive",1,3299,"new castle","DE"
"wingate university",31120,31120,"private",2084,"moderately difficult",0.7,7581,"wingate","NC"
"winston-salem state university",5850,16097,"public",5960,"minimally difficult",0.54,4068,"winston salem","NC"
"winthrop university",15220,29136,"public",5091,"moderately difficult",0.69,4940,"rock hill","SC"
"north carolina state university",9058,27406,"public",23847,"very difficult",0.46,25929,"raleigh","NC"
"university of north carolina asheville",7002,23725,"public",3806,"moderately difficult",0.78,3433,"asheville","NC"
"university of north carolina chapel hill",9005,34588,"public",18523,"very difficult",0.27,34889,"chapel hill","NC"
"university of north carolina charlotte",7023,20457,"public",23404,"moderately difficult",0.62,17475,"charlotte","NC"
"university of north carolina greensboro",7137,22296,"public",16281,"moderately difficult",0.74,9035,"greensboro","NC"
"university of north carolina wilmington",7048,21064,"public",13914,"moderately difficult",0.72,10436,"wilmington","NC"
"north carolina wesleyan college",30150,30150,"private",2092,"moderately difficult",0.62,4038,"rocky mount","NC"
"university of north florida",6394,20112,"public",13846,"moderately difficult",0.65,11346,"jacksonville","FL"
"university of north georgia",7336,21148,"public",17704,"moderately difficult",0.66,5634,"dahlonega","GA"
"university of louisiana monroe",8470,20568,"public",7276,"moderately difficult",0.94,3187,"monroe","LA"
"northern kentucky university",9744,19104,"public",12389,"",0.91,6059,"highland heights","KY"
"northwestern state university of louisiana",7880,18668,"public",8700,"moderately difficult",0.58,4088,"natchitoches","LA"
"notre dame of maryland university",36070,36070,"private",1169,"moderately difficult",0.49,827,"baltimore","MD"
"nova southeastern university",29940,29940,"private",4295,"moderately difficult",0.52,6532,"fort lauderdale","FL"
"oakwood university",16720,16720,"private",1824,"minimally difficult",0.57,1492,"huntsville","AL"
"oglethorpe university",36680,36680,"private",1147,"very difficult",0.78,2768,"atlanta","GA"
"old dominion university",10350,28200,"public",19793,"moderately difficult",0.85,11352,"norfolk","VA"
"ouachita baptist university",25870,25870,"private",1494,"moderately difficult",0.67,1712,"arkadelphia","AR"
"our lady of holy cross college",16100,16100,"private",1128,"minimally difficult",NA,NA,"new orleans","LA"
"university of the ozarks",23750,23750,"private",651,"moderately difficult",0.97,744,"clarksville","AR"
"paine college",14224,14224,"private",502,"minimally difficult",0.25,3964,"augusta","GA"
"palm beach atlantic university",29950,29950,"private",2926,"moderately difficult",0.93,1449,"west palm beach","FL"
"university of north carolina pembroke",5956,17547,"public",5514,"moderately difficult",0.74,4544,"pembroke","NC"
"piedmont college",24464,24464,"private",1295,"moderately difficult",0.57,1335,"demorest","GA"
"university of pikeville",20350,20350,"private",1658,"noncompetitive",1,2437,"pikeville","KY"
"presbyterian college",37842,37842,"private",1063,"very difficult",0.6,2636,"clinton","SC"
"queens university of charlotte",35202,35202,"private",1641,"moderately difficult",0.67,2111,"charlotte","NC"
"radford university",10627,22262,"public",8453,"minimally difficult",0.81,7447,"radford","VA"
"randolph-macon college",40100,40100,"private",1446,"moderately difficult",0.61,2842,"ashland","VA"
"randolph college",38155,38155,"private",663,"moderately difficult",0.84,1214,"lynchburg","VA"
"rust college",9700,9700,"private",1004,"minimally difficult",0.07,5337,"holly springs","MS"
"rhodes college",46504,46504,"private",1999,"very difficult",0.54,4481,"memphis","TN"
"university of richmond",50910,50910,"private",3036,"very difficult",0.32,10422,"university of richmond","VA"
"ringling college of art & design",45100,45100,"private",1341,"moderately difficult",0.78,1752,"sarasota","FL"
"roanoke college",42694,42694,"private",1992,"moderately difficult",0.73,4459,"salem","VA"
"st. andrews university",25874,25874,"private",688,"moderately difficult",0.57,1238,"laurinburg","NC"
"st. augustine's university",17890,17890,"private",944,"moderately difficult",0.71,4040,"raleigh","NC"
"st. john's college",51670,51670,"private",122,"moderately difficult",0.68,90,"springfield","IL"
"st. john's college",51670,51670,"private",326,"moderately difficult",0.63,298,"santa fe","NM"
"st. john's college",51670,51670,"private",434,"moderately difficult",0.53,612,"annapolis","MD"
"saint joseph seminary college",17490,17490,"private",107,"minimally difficult",NA,NA,"saint benedict","LA"
"saint leo university",22280,22280,"private",2264,"moderately difficult",0.7,4501,"saint leo","FL"
"salem college",28566,28566,"private",938,"moderately difficult",0.6,929,"winston salem","NC"
"salisbury university",9582,18622,"public",7861,"moderately difficult",0.66,8307,"salisbury","MD"
"samford university",30490,30490,"private",3341,"moderately difficult",0.91,3446,"birmingham","AL"
"savannah state university",6734,19810,"public",4645,"minimally difficult",0.83,2950,"savannah","GA"
"university of south alabama",9390,18780,"public",11755,"moderately difficult",0.8,6401,"mobile","AL"
"south carolina state university",10740,21120,"public",2529,"minimally difficult",0.86,2847,"orangeburg","SC"
"coastal carolina university",11200,25872,"public",9747,"moderately difficult",0.61,17768,"conway","SC"
"university of south carolina upstate",11520,22848,"public",5594,"moderately difficult",0.56,3633,"spartanburg","SC"
"university of south florida",6410,17324,"public",31461,"moderately difficult",0.47,28623,"tampa","FL"
"southeastern louisiana university",8153,20629,"public",13559,"moderately difficult",0.88,4226,"hammond","LA"
"southeastern university",24160,24160,"private",5055,"minimally difficult",0.46,4061,"lakeland","FL"
"southern adventist university",21550,21550,"private",2673,"moderately difficult",0.6,2003,"collegedale","TN"
"salem international university",12920,12920,"private for profit",631,"",NA,NA,"salem","WV"
"st. mary's college of maryland",14496,29947,"public",1643,"moderately difficult",0.8,1767,"st mary's city","MD"
"spring hill college",37584,37584,"private",1396,"moderately difficult",0.44,8534,"mobile","AL"
"university of south carolina aiken",10502,20702,"public",3374,"moderately difficult",0.61,2177,"aiken","SC"
"savannah college of art & design",35910,35910,"private",10573,"moderately difficult",0.71,11723,"savannah","GA"
"university of southern mississippi",7964,9964,"public",11779,"moderately difficult",0.46,6607,"hattiesburg","MS"
"spelman college",28431,28431,"private",2125,"very difficult",0.36,7864,"atlanta","GA"
"sweet briar college",37155,37155,"private",365,"minimally difficult",0.93,950,"sweet briar","VA"
"stetson university",44480,44480,"private",3084,"moderately difficult",0.63,11216,"deland","FL"
"st. thomas university",31550,31550,"private",2752,"",NA,NA,"miami gardens","FL"
"shaw university",16480,16480,"private",1713,"minimally difficult",0.49,9605,"raleigh","NC"
"shenandoah university",31910,31910,"private",2099,"",NA,NA,"winchester","VA"
"shorter university",21670,21670,"private",1377,"moderately difficult",0.61,1820,"rome","GA"
"university of south carolina",12262,32362,"public",25556,"moderately difficult",0.65,23341,"columbia","SC"
"sewanee: university of the south",45120,45120,"private",1731,"very difficult",0.44,4423,"sewanee","TN"
"delaware state university",7352,16138,"public",3943,"moderately difficult",0.44,8141,"dover","DE"
"university of delaware",13160,33150,"public",18374,"moderately difficult",0.65,24456,"newark","DE"
"delta state university",6859,6859,"public",2778,"noncompetitive",0.92,496,"cleveland","MS"
"dillard university",18099,18099,"private",1185,"moderately difficult",0.48,4615,"new orleans","LA"
"university of the district of columbia",8060,15956,"public",4491,"minimally difficult",NA,NA,"washington","DC"
"emporia state university",6345,19918,"public",3702,"noncompetitive",0.87,1702,"emporia","KS"
"saint martin's university",35656,35656,"private",1281,"moderately difficult",0.95,1344,"lacey","WA"
"oklahoma state university",8738,23776,"public",21093,"moderately difficult",0.75,13055,"stillwater","OK"
"university of st. thomas",32560,32560,"private",1814,"moderately difficult",0.77,942,"houston","TX"
"university of st. thomas",32560,32560,"private",6111,"moderately difficult",0.83,6221,"st paul","MN"
"pomona college",51075,51075,"private",1660,"most difficult",0.09,8102,"claremont","CA"
"pacific lutheran university",41092,41092,"private",2782,"moderately difficult",0.77,3770,"tacoma","WA"
"northwestern oklahoma state university",6706,13823,"public",1982,"moderately difficult",0.81,1078,"alva","OK"
"midwestern state university",8485,10435,"public",5287,"moderately difficult",0.76,2854,"wichita falls","TX"
"jarvis christian college",11720,11720,"private",NA,"minimally difficult",0.54,983,"hawkins","TX"
"hardin-simmons university",27440,27440,"private",1721,"moderately difficult",0.88,1149,"abilene","TX"
"multnomah university",24680,24680,"private",417,"moderately difficult",0.7,198,"portland","OR"
"california state university fullerton",6830,18710,"public",34576,"moderately difficult",0.48,44493,"fullerton","CA"
"baker university",28960,28960,"private",1144,"moderately difficult",0.78,899,"baldwin city","KS"
"university of colorado denver",11258,31448,"public",14622,"moderately difficult",0.61,12252,"denver","CO"
"northeastern state university",6334,14022,"public",6923,"moderately difficult",0.83,1815,"tahlequah","OK"
"youngstown state university",8397,14397,"public",11391,"minimally difficult",0.67,9010,"youngstown","OH"
"xavier university",37230,37230,"private",4633,"moderately difficult",0.73,11605,"cincinnati","OH"
"wright state university",8730,17608,"public",12504,"minimally difficult",0.95,5897,"dayton","OH"
"college of wooster",48600,48600,"private",2003,"moderately difficult",0.58,5667,"wooster","OH"
"wittenberg university",38730,38730,"private",1960,"moderately difficult",0.78,6906,"springfield","OH"
"university of wisconsin whitewater",7662,16235,"public",11380,"moderately difficult",0.81,6228,"whitewater","WI"
"university of wisconsin superior",8109,15682,"public",2365,"minimally difficult",0.69,1148,"superior","WI"
"university of wisconsin stout",9456,17423,"public",8398,"moderately difficult",0.88,3445,"menomonie","WI"
"university of wisconsin stevens point",8031,16498,"public",8296,"moderately difficult",0.77,4005,"stevens point","WI"
"university of wisconsin river falls",7850,15425,"public",5507,"moderately difficult",0.9,2467,"river falls","WI"
"university of wisconsin platteville",7381,15231,"public",7793,"",NA,NA,"platteville","WI"
"university of wisconsin parkside",7529,15518,"public",4276,"moderately difficult",0.82,1629,"kenosha","WI"
"university of wisconsin oshkosh",7587,15160,"public",13194,"moderately difficult",0.68,5846,"oshkosh","WI"
"university of wisconsin milwaukee",11008,22288,"public",21375,"moderately difficult",0.72,9834,"milwaukee","WI"
"university of wisconsin madison",10533,34783,"public",31710,"very difficult",0.53,32887,"madison","WI"
"university of wisconsin la crosse",8922,17591,"public",9699,"moderately difficult",0.82,5801,"la crosse","WI"
"university of wisconsin green bay",7878,15728,"public",6758,"moderately difficult",0.92,2126,"green bay","WI"
"university of wisconsin eau claire",8816,16736,"public",9981,"moderately difficult",0.89,5706,"eau claire","WI"
"winona state university",9381,15302,"public",7656,"moderately difficult",0.6,7476,"winona","MN"
"wilmington college",25500,25500,"private",1432,"moderately difficult",NA,NA,"wilmington","OH"
"william woods university",23260,23260,"private",971,"moderately difficult",0.7,895,"fulton","MO"
"william penn university",25000,25000,"private",1449,"moderately difficult",0.59,1096,"oskaloosa","IA"
"william jewell college",33620,33620,"private",992,"moderately difficult",0.51,2081,"liberty","MO"
"wilberforce university",13250,13250,"private",307,"minimally difficult",0.38,1284,"wilberforce","OH"
"wheaton college",35190,35190,"private",1651,"very difficult",0.62,4478,"norton","MA"
"wheaton college",35190,35190,"private",2456,"very difficult",0.79,1850,"wheaton","IL"
"westminster college",25940,25940,"private",1168,"moderately difficult",0.91,2125,"new wilmington","PA"
"westminster college",25940,25940,"private",2127,"moderately difficult",0.94,1938,"salt lake city","UT"
"westminster college",25940,25940,"private",940,"moderately difficult",0.64,1789,"fulton","MO"
"western michigan university",11943,14699,"public",18313,"moderately difficult",0.82,13613,"kalamazoo","MI"
"western illinois university",11267,15538,"public",8543,"moderately difficult",0.59,10191,"macomb","IL"
"webster university",27225,27225,"private",2621,"moderately difficult",0.47,2630,"st louis","MO"
"wayne state university",12979,27453,"public",17280,"moderately difficult",0.81,11093,"detroit","MI"
"washington university st. louis",51533,51533,"private",7540,"most difficult",0.17,29197,"st louis","MO"
"wartburg college",39730,39730,"private",1482,"moderately difficult",0.68,4028,"waverly","IA"
"walsh college",14050,14050,"private",935,"noncompetitive",NA,NA,"troy","MI"
"walsh university",29150,29150,"private",2112,"moderately difficult",0.78,1693,"north canton","OH"
"wabash college",42250,42250,"private",842,"moderately difficult",0.63,1284,"crawfordsville","IN"
"viterbo university",26920,26920,"private",1875,"moderately difficult",0.63,1770,"la crosse","WI"
"vandercook college of music",28344,28344,"private",155,"",NA,NA,"chicago","IL"
"valparaiso university",38760,38760,"private",3294,"moderately difficult",0.83,7484,"valparaiso","IN"
"urbana university",22452,22452,"private",1461,"moderately difficult",0.65,495,"urbana","OH"
"upper iowa university",29600,29600,"private",3991,"moderately difficult",0.94,1121,"fayette","IA"
"trine university",31540,31540,"private",3372,"moderately difficult",0.77,2890,"angola","IN"
"trinity international university",30750,30750,"private",968,"moderately difficult",0.63,548,"deerfield","IL"
"trinity christian college",28675,28675,"private",1193,"moderately difficult",0.7,884,"palos heights","IL"
"university of toledo",9975,19313,"public",16247,"noncompetitive",0.94,10842,"toledo","OH"
"tiffin university",23850,23850,"private",2353,"moderately difficult",0.6,3653,"tiffin","OH"
"taylor university",32885,32885,"private",2131,"moderately difficult",0.8,1775,"upland","IN"
"franciscan university of steubenville",26430,26430,"private",2090,"moderately difficult",0.79,1760,"steubenville","OH"
"stephens college",30344,30344,"private",706,"moderately difficult",0.54,1153,"columbia","MO"
"spring arbor university",27750,27750,"private",2435,"moderately difficult",0.69,1546,"spring arbor","MI"
"southwest minnesota state university",8619,8619,"public",6451,"minimally difficult",NA,NA,"marshall","MN"
"missouri state university",7306,14746,"public",20316,"moderately difficult",0.84,9038,"springfield","MO"
"southwest baptist university",23290,23290,"private",2881,"moderately difficult",0.62,1604,"bolivar","MO"
"university of southern indiana",7900,18556,"public",7956,"moderately difficult",0.92,4552,"evansville","IN"
"southern illinois university edwardsville",11491,25118,"public",11720,"moderately difficult",0.89,7274,"edwardsville","IL"
"southern illinois university carbondale",13936,13936,"public",12182,"moderately difficult",0.77,9084,"carbondale","IL"
"southeast missouri state university",7185,12720,"public",10693,"moderately difficult",0.83,5184,"cape girardeau","MO"
"simpson college",37663,37663,"private",1543,"moderately difficult",0.85,1265,"indianola","IA"
"silver lake college of the holy family",27360,27360,"private",357,"minimally difficult",0.55,481,"manitowoc","WI"
"siena heights university",25932,25932,"private",2402,"moderately difficult",0.74,1545,"adrian","MI"
"university of st. thomas",41133,41133,"private",1814,"moderately difficult",0.77,942,"houston","TX"
"university of st. thomas",41133,41133,"private",6111,"moderately difficult",0.83,6221,"st paul","MN"
"gustavus adolphus college",44080,44080,"private",2386,"very difficult",0.67,4657,"st peter","MN"
"university of indianapolis",28390,28390,"private",4346,"moderately difficult",0.86,7301,"indianapolis","IN"
"pontifical college josephinum",22750,22750,"private",78,"minimally difficult",0.75,8,"columbus","OH"
"purdue university",9992,28794,"public",30043,"moderately difficult",0.56,48774,"west lafayette","IN"
"st. olaf college",46000,46000,"private",3040,"very difficult",0.45,6041,"northfield","MN"
"university of illinois springfield",11613,21138,"public",2959,"moderately difficult",0.65,1467,"springfield","IL"
"faith baptist bible college & theological seminary",16766,16766,"private",226,"minimally difficult",NA,NA,"ankeny","IA"
"franklin college",30920,30920,"private",1016,"moderately difficult",0.78,1479,"franklin","IN"
"goshen college",33200,33200,"private",800,"moderately difficult",0.68,1004,"goshen","IN"
"hillsdale college",26742,26742,"private",1486,"very difficult",0.45,1934,"hillsdale","MI"
"hope college",32780,32780,"private",3234,"moderately difficult",0.84,3899,"holland","MI"
"kalamazoo college",46840,46840,"private",1443,"very difficult",0.66,3626,"kalamazoo","MI"
"lake forest college",45548,45548,"private",1540,"moderately difficult",0.57,4227,"lake forest","IL"
"lawrence university",46101,46101,"private",1532,"very difficult",0.63,3579,"appleton","WI"
"madonna university",20700,20700,"private",2629,"moderately difficult",0.6,972,"livonia","MI"
"indiana state university",8916,19452,"public",11202,"moderately difficult",0.86,11101,"terre haute","IN"
"huntington university",25540,25540,"private",996,"moderately difficult",0.9,789,"huntington","IN"
"university of iowa",8964,30608,"public",22354,"moderately difficult",0.81,24097,"iowa city","IA"
"marquette university",39900,39900,"private",8238,"moderately difficult",0.84,13136,"milwaukee","WI"
"michigan technological university",15074,32318,"public",5829,"moderately difficult",0.76,5589,"houghton","MI"
"milwaukee school of engineering",39429,39429,"private",2675,"moderately difficult",0.66,2686,"milwaukee","WI"
"michigan state university",14460,39405,"public",39090,"moderately difficult",0.66,37480,"east lansing","MI"
"university of missouri columbia",9787,26506,"public",27812,"moderately difficult",0.78,21988,"columbia","MO"
"moody bible institute",12960,12960,"private",2928,"moderately difficult",0.89,816,"chicago","IL"
"university of notre dame",51505,51505,"private",8530,"most difficult",0.19,19505,"notre dame","IN"
"university of missouri st. louis",10275,27327,"public",13923,"moderately difficult",0.71,1947,"st louis","MO"
"northwest missouri state university",9572,16136,"public",5628,"moderately difficult",0.74,5382,"maryville","MO"
"oakland university",12420,23873,"public",16793,"moderately difficult",0.8,10162,"rochester","MI"
"oberlin college",53460,53460,"private",2895,"very difficult",0.28,8518,"oberlin","OH"
"truman state university",7656,14440,"public",6039,"moderately difficult",0.68,5178,"kirksville","MO"
"eastern illinois university",11678,13868,"public",5957,"moderately difficult",0.47,8420,"charleston","IL"
"elmhurst college",36570,36570,"private",2840,"moderately difficult",0.55,3620,"elmhurst","IL"
"university of findlay",33320,33320,"private",3661,"moderately difficult",0.73,2976,"findlay","OH"
"hiram college",34300,34300,"private",1090,"moderately difficult",0.54,2521,"hiram","OH"
"iowa state university",8636,22472,"public",30671,"moderately difficult",0.87,19433,"ames","IA"
"otterbein university",31874,31874,"private",2485,"moderately difficult",0.75,2917,"westerville","OH"
"north central university",23490,23490,"private",1125,"noncompetitive",NA,NA,"minneapolis","MN"
"morningside college",30390,30390,"private",1321,"moderately difficult",0.57,4561,"sioux city","IA"
"lake superior state university",11600,11600,"public",2432,"moderately difficult",0.9,1465,"sault sainte marie","MI"
"macalester college",52464,52464,"private",2146,"very difficult",0.37,5946,"st paul","MN"
"ohio northern university",30990,30990,"private",2259,"moderately difficult",0.69,3108,"ada","OH"
"university of rio grande",26130,26130,"private",2106,"noncompetitive",0.73,1754,"rio grande","OH"
"st. catherine university",38349,38349,"private",3176,"moderately difficult",0.69,2853,"st paul","MN"
"purdue university northwest",7581,17129,"public",14385,"moderately difficult",0.44,3882,"hammond","IN"
"rockhurst university",36670,36670,"private",2042,"moderately difficult",0.74,3038,"kansas city","MO"
"saint john's university",43356,43356,"private",1754,"moderately difficult",0.88,1457,"collegeville","MN"
"quincy university",27770,27770,"private",1140,"moderately difficult",0.63,1553,"quincy","IL"
"saginaw valley state university",9819,23063,"public",8397,"moderately difficult",0.76,6700,"university center","MI"
"university of st. francis",29430,29430,"private",1362,"moderately difficult",0.49,1560,"joliet","IL"
"university of st. francis",29430,29430,"private",1810,"minimally difficult",0.97,977,"fort wayne","IN"
"saint louis university",42166,42166,"private",7454,"",0.65,12737,"st louis","MO"
"saint mary's university of minnesota",33560,33560,"private",1590,"moderately difficult",0.79,1686,"winona","MN"
"park university",12370,12370,"private",8946,"minimally difficult",NA,NA,"parkville","MO"
"northwestern university",52678,52678,"private",8353,"most difficult",0.11,35100,"evanston","IL"
"college of the ozarks",19200,19200,"private",1512,"moderately difficult",0.14,2896,"point lookout","MO"
"olivet nazarene university",34940,34940,"private",3358,"minimally difficult",0.78,4305,"bourbonnais","IL"
"olivet college",26695,26695,"private",1045,"minimally difficult",0.53,2654,"olivet","MI"
"ohio state university",10591,29695,"public",45831,"very difficult",0.54,44845,"columbus","OH"
"henderson state university",8311,9961,"public",3066,"moderately difficult",0.66,4072,"arkadelphia","AR"
"james madison university",10830,27194,"public",19548,"very difficult",0.72,21304,"harrisonburg","VA"
"jacksonville state university",9975,19245,"public",7561,"moderately difficult",0.53,4979,"jacksonville","AL"
"john brown university",26144,26144,"private",2017,"moderately difficult",0.77,1206,"siloam springs","AR"
"northland college",35157,35157,"private",582,"moderately difficult",0.54,1335,"ashland","WI"
"university of massachusetts lowell",14800,31865,"public",13639,"moderately difficult",0.6,11231,"lowell","MA"
"goucher college",43440,43440,"private",1473,"moderately difficult",0.79,3443,"baltimore","MD"
"long island university",36978,36978,"private",4661,"moderately difficult",0.91,7289,"brooklyn","NY"
"university of new england",36530,36530,"private",4247,"moderately difficult",0.83,4883,"biddeford","ME"
"american academy of art",33100,33100,"private",297,"moderately difficult",NA,NA,"chicago","IL"
"art institute of phoenix",NA,NA,"private for profit",NA,"",NA,NA,"phoenix","AZ"
"hamilton technical college",NA,NA,"private for profit",NA,"noncompetitive",NA,NA,"davenport","IA"
"bacone college",14850,14850,"private",884,"minimally difficult",NA,NA,"muskogee","OK"
"global university",24958,24958,"private",4176,"noncompetitive",NA,NA,"springfield","MO"
"beth hatalmud rabbinical college",11750,11750,"private",75,"",1,28,"brooklyn","NY"
"columbia college",NA,NA,"private",936,"minimally difficult",0.51,1580,"columbia","MO"
"columbia college",NA,NA,"private",1554,"moderately difficult",0.89,506,"columbia","SC"
"columbia college",NA,NA,"private for profit",1750,"noncompetitive",0.54,967,"caguas","PR"
"independence university",NA,NA,"private for profit",NA,"noncompetitive",NA,NA,"salt lake city","UT"
"california state university monterey bay",7048,18928,"public",6923,"moderately difficult",0.35,16258,"seaside","CA"
"carlos albizu university miami",10294,10294,"private",356,"moderately difficult",0.72,25,"miami","FL"
"central yeshiva tomchei tmimim-lubavitch",7700,7700,"private",582,"",1,260,"brooklyn","NY"
"rogers state university",6870,15210,"public",3889,"noncompetitive",0.79,1169,"claremore","OK"
"jefferson college of health sciences",25850,25850,"private",800,"moderately difficult",0.36,459,"roanoke","VA"
