"University","CostIState","CostOState","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"vassar college",55210,55210,"private",2424,"very difficult",0.27,7284,"poughkeepsie","NY"
"marywood university",33940,33940,"private",1931,"moderately difficult",0.69,2202,"scranton","PA"
"bryant university",42109,42109,"private",3462,"moderately difficult",0.67,7314,"smithfield","RI"
"bryn mawr college",50500,50500,"private",1381,"most difficult",0.4,3012,"bryn mawr","PA"
"bucknell university",53986,53986,"private",3571,"most difficult",0.3,10487,"lewisburg","PA"
"cabrini university",31350,31350,"private",1650,"moderately difficult",0.71,3186,"radnor","PA"
"california university of pennsylvania",10641,14387,"public",5522,"moderately difficult",0.94,3202,"california","PA"
"massachusetts college of art & design",12700,34400,"public",1835,"moderately difficult",0.71,1531,"boston","MA"
"university of vermont",17740,41356,"public",11159,"moderately difficult",0.69,22476,"burlington","VT"
"massachusetts college of pharmacy & health sciences",32590,32590,"private",3843,"",0.84,5531,"boston","MA"
"villanova university",51284,51284,"private",6999,"very difficult",0.44,17272,"villanova","PA"
"massachusetts institute of technology",49892,49892,"private",4524,"most difficult",0.08,19020,"cambridge","MA"
"carlow university",28596,28596,"private",1408,"minimally difficult",0.86,806,"pittsburgh","PA"
"school of visual arts",38000,38000,"private for profit",3707,"moderately difficult",0.74,3648,"new york","NY"
"wagner college",45380,45380,"private",1807,"",NA,NA,"staten island","NY"
"washington & jefferson college",46628,46628,"private",1396,"very difficult",0.46,7155,"washington","PA"
"massachusetts maritime academy",8381,25807,"public",1677,"moderately difficult",0.8,825,"buzzards bay","MA"
"waynesburg university",24010,24010,"private",1400,"moderately difficult",0.94,1478,"waynesburg","PA"
"university of massachusetts amherst",15596,33662,"public",23373,"moderately difficult",0.6,40703,"amherst","MA"
"webb institute",48775,48775,"private",92,"most difficult",0.29,116,"glen cove","NY"
"wellesley college",51148,51148,"private",2356,"most difficult",0.3,4555,"wellesley","MA"
"university of massachusetts boston",13828,32985,"public",12847,"moderately difficult",0.69,9886,"boston","MA"
"medaille college",28360,28360,"private",1803,"moderately difficult",0.54,1505,"buffalo","NY"
"wells college",39600,39600,"private",515,"moderately difficult",0.58,2222,"aurora","NY"
"mercy college",18713,18713,"private",7157,"moderately difficult",0.78,6617,"dobbs ferry","NY"
"mercyhurst university",36320,36320,"private",2494,"moderately difficult",0.75,3254,"erie","PA"
"wentworth institute of technology",32954,32954,"private",3974,"moderately difficult",0.71,7556,"boston","MA"
"carnegie mellon university",53910,53910,"private",6673,"most difficult",0.22,21189,"pittsburgh","PA"
"wesleyan university",52774,52774,"private",2971,"most difficult",0.18,11928,"middletown","CT"
"merrimack college",40190,40190,"private",3448,"moderately difficult",0.82,8214,"north andover","MA"
"west chester university of pennsylvania",10064,21302,"public",14398,"moderately difficult",0.64,12609,"west chester","PA"
"messiah college",34160,34160,"private",2788,"moderately difficult",0.8,2596,"mechanicsburg","PA"
"castleton state college",11314,26722,"public",1985,"moderately difficult",0.78,2397,"castleton","VT"
"western connecticut state university",10418,23107,"public",5181,"moderately difficult",0.67,5484,"danbury","CT"
"western new england university",35740,35740,"private",2724,"moderately difficult",0.8,6399,"springfield","MA"
"middlebury college",52496,52496,"private",2532,"most difficult",0.16,8819,"middlebury","VT"
"westfield state university",9715,15795,"public",5610,"moderately difficult",0.78,4740,"westfield","MA"
